,01-deutsch-jotza,02-bernstein-vazirani,03-simon,04-grover
cirq,21,7,18,36
quapl,3,10,5,12
qiskit,16,5,14,39
qrisp,10,5,10,37
qmod,9,8,4,4
q#,6,7,7,15
qasm,1,1,1,1
classic,11,9,14,5
