,01-deutsch-jotza,02-bernstein-vazirani,03-simon,04-grover
cirq,24.0,17.0,26,44
quapl,35.0,11.0,19,44
qiskit,23.0,15.0,26,44
qrisp,21.0,15.0,19,39
qmod,29.0,25.0,15,9
q#,33.0,27.0,30,56
qasm,14.0,17.0,12,30
classic,,,28,13
