,Directory,File Name,n1 (Unique Operators),n2 (Unique Operands),N1 (Total Operators),N2 (Total Operands),Vocabulary,Length,Volume,Difficulty,Effort
0,cirq,01-deutsch-jozsa,20,12,110,54,32,164,820.0,45.0,36900.0
1,cirq,02-bernstein-vazirani,24,10,87,36,34,123,625.7579294737917,43.2,27032.742553267803
2,cirq,03-simon,22,14,92,62,36,154,796.1684502221161,48.714285714285715,38784.777360820226
3,cirq,04-grover,29,15,217,92,44,309,1686.9643701589248,88.93333333333334,150027.36465280037
4,cirq,06-qft,21,11,79,41,32,120,600.0,39.13636363636363,23481.81818181818
5,quapl,01-deutsch-jozsa,22,20,83,49,42,132,711.7858998067965,26.950000000000003,19182.629999793167
6,quapl,02-bernstein-vazirani,24,14,72,31,38,103,540.5365338846893,26.571428571428573,14362.827900364604
7,quapl,03-simon,26,10,98,24,36,122,630.7308501759621,31.2,19678.802525490017
8,quapl,04-grover,32,21,254,85,53,339,1941.7650340969244,64.76190476190476,125752.40220818177
9,quapl,06-qft,37,29,188,61,66,249,1505.0541357202549,38.91379310344828,58567.36524690716
10,qiskit,01-deutsch-jozsa,17,13,70,55,30,125,613.3613244510649,35.96153846153846,22057.41686006714
11,qiskit,02-bernstein-vazirani,17,8,42,32,25,74,343.6453580433296,34.0,11683.942173473208
12,qiskit,03-simon,19,13,52,44,32,96,480.0,32.15384615384615,15433.846153846154
13,qiskit,04-grover,27,18,141,98,45,239,1312.5528900227923,73.5,96472.63741667524
14,qiskit,05-vqsvd,33,283,641,947,316,1588,13186.403828105238,55.21378091872791,728071.2120708777
15,qiskit,06-qft,17,8,46,38,25,84,390.08391994107683,40.375,15749.638267620978
16,qrisp,01-deutsch-jozsa,17,14,53,42,31,95,470.64864948675313,25.5,12001.540561912205
17,qrisp,02-bernstein-vazirani,19,10,43,28,29,71,344.9166506540576,26.599999999999998,9174.782907397932
18,qrisp,03-simon,17,11,40,34,28,74,355.74426423226265,26.272727272727273,9346.372033011265
19,qrisp,04-grover,6,11,17,19,17,36,147.14866228501222,5.181818181818182,762.4976136586997
20,qrisp,06-qft,17,11,44,38,28,82,394.2031036087235,29.363636363636363,11575.236587783425
21,qmod,01-deutsch-jozsa,13,13,60,42,26,102,479.44485125039137,21.0,10068.341876258219
22,qmod,02-bernstein-vazirani,24,9,60,31,33,91,459.03986486161926,41.333333333333336,18973.6477476136
23,qmod,03-simon,12,7,38,27,19,65,276.11528837383304,23.142857142857142,6390.096673794422
24,qmod,04-grover,13,6,79,31,19,110,467.2720264787944,33.583333333333336,15692.552222579512
25,qmod,06-qft,6,15,13,20,21,33,144.94647495169912,4.0,579.7858998067965
26,q#,01-deutsch-jozsa,28,15,97,47,43,144,781.3821246771021,43.86666666666667,34276.62920250221
27,q#,02-bernstein-vazirani,26,15,77,46,41,123,658.9788965680243,39.86666666666667,26271.292009845238
28,q#,03-simon,26,10,77,41,36,118,610.0511501701928,53.3,32515.726304071275
29,q#,04-grover,37,16,172,79,53,251,1437.7080340953628,91.34375,131325.64323939828
30,q#,06-qft,17,10,50,32,27,82,389.9007751774044,27.200000000000003,10605.301084825402
31,qasm,01-deutsch-jozsa,6,2,29,16,8,45,135.0,24.0,3240.0
32,qasm,02-bernstein-vazirani,6,2,33,18,8,51,153.0,27.0,4131.0
33,qasm,03-simon,5,2,22,12,7,34,95.45006734995854,15.0,1431.7510102493782
34,qasm,04-grover,6,2,54,29,8,83,249.0,43.5,10831.5
35,qasm,06-qft,9,8,90,87,17,177,723.48092290131,48.9375,35405.347664482855
36,qasm3,01-deutsch-jozsa,10,3,28,13,13,41,151.7180284437848,21.666666666666664,3287.2239496153366
37,qasm3,02-bernstein-vazirani,10,3,31,16,13,47,173.92066675263132,26.666666666666664,4637.884446736834
38,qasm3,03-simon,9,3,24,12,12,36,129.0586500259616,18.0,2323.055700467309
39,qasm3,04-grover,10,3,59,29,13,88,325.6386951964161,48.33333333333333,15739.20360116011
40,qasm3,06-qft,7,7,87,82,14,169,643.4429818277351,41.0,26381.162254937142
41,pennylane,01-deutsch-jozsa,23,13,93,48,36,141,728.959425203366,42.46153846153847,30952.738670173698
42,pennylane,02-bernstein-vazirani,25,12,73,39,37,112,583.4587769504424,40.625,23703.01281361172
43,pennylane,03-simon,22,15,73,48,37,121,630.3438572411029,35.2,22188.103774886826
44,pennylane,04-grover,32,22,143,95,54,238,1369.6632255149054,69.0909090909091,94631.27739921166
45,pennylane,05-vqsvd,76,171,822,509,247,1331,10579.276785239206,113.1111111111111,1196633.75193039
46,pennylane,06-qft,25,12,83,41,37,124,645.9722173379898,42.70833333333333,27588.396782143314
47,paddle,05-vqsvd,24,188,508,701,212,1209,9343.055829566907,44.744680851063826,418052.05126764264
48,classic,02-bernstein-vazirani,19,16,48,43,35,91,466.7647545419919,25.53125,11917.087639400232
49,classic,03-simon,17,24,70,69,41,139,744.6997286419137,24.4375,18198.599618686767
50,classic,04-grover,15,15,38,40,30,78,382.73746645746445,20.0,7654.749329149289
