,01-deutsch-jozsa,02-bernstein-vazirani,03-simon,04-grover,06-qft,05-vqsvd
cirq,23,17,26,44,16,
quapl,35,20,19,44,25,
qiskit,22,15,19,43,19,275
qrisp,21,14,14,8,13,
qmod,29,25,15,9,7,
q#,33,27,30,56,21,
qasm,15,17,12,27,33,
qasm3,14,15,12,27,31,
pennylane,29,21,24,46,17,179
classic,,14,28,13,,
paddle,,,,,,166
