,01-deutsch-jozsa,02-bernstein-vazirani,03-simon,04-grover,06-qft,05-vqsvd
cirq,6,4,4,6,5,
quapl,5,2,4,7,3,
qiskit,2,3,3,6,4,23
qrisp,2,3,3,1,4,
qmod,1,3,1,1,1,
q#,2,3,3,6,4,
qasm,1,1,1,1,1,
qasm3,4,3,3,6,1,
pennylane,4,4,4,6,4,12
classic,,1,1,1,,
paddle,,,,,,8
